New Training Session, Net Version _4 
Epoch, Batch, Running Loss, Lowest Running Loss, Mark Number 
0, 20, 0.43840035796165466, 0.43840035796165466, -1 
0, 40, 0.29193365573883057, 0.43840035796165466, -1 
0, 60, 0.25695380568504333, 0.29193365573883057, 0 
0, 80, 0.21969398856163025, 0.25695380568504333, 1 
0, 100, 0.25222423672676086, 0.21969398856163025, 2 
0, 120, 0.23208731412887573, 0.21969398856163025, 2 
0, 140, 0.22118203341960907, 0.21969398856163025, 2 
0, 160, 0.22571291029453278, 0.21969398856163025, 2 
0, 180, 0.23091958463191986, 0.21969398856163025, 2 
0, 200, 0.1592010259628296, 0.21969398856163025, 2 
0, 220, 0.13168208301067352, 0.1592010259628296, 3 
0, 240, 0.14337803423404694, 0.13168208301067352, 4 
0, 260, 0.16413584351539612, 0.13168208301067352, 4 
0, 280, 0.10180240124464035, 0.13168208301067352, 4 
1, 20, 0.4271933436393738, 0.10180240124464035, 5 
1, 40, 0.3066492974758148, 0.10180240124464035, 5 
1, 60, 0.3134498596191406, 0.10180240124464035, 5 
1, 80, 0.22884002327919006, 0.10180240124464035, 5 
1, 100, 0.21257446706295013, 0.10180240124464035, 5 
1, 120, 0.18374426662921906, 0.10180240124464035, 5 
1, 140, 0.14048688113689423, 0.10180240124464035, 5 
1, 160, 0.17601723968982697, 0.10180240124464035, 5 
1, 180, 0.1352153718471527, 0.10180240124464035, 5 
1, 200, 0.14172528684139252, 0.10180240124464035, 5 
1, 220, 0.14059258997440338, 0.10180240124464035, 5 
1, 240, 0.1605241745710373, 0.10180240124464035, 5 
1, 260, 0.1275014877319336, 0.10180240124464035, 5 
1, 280, 0.16371852159500122, 0.10180240124464035, 5 
2, 20, 0.16371344029903412, 0.10180240124464035, 5 
2, 40, 0.1576789915561676, 0.10180240124464035, 5 
2, 60, 0.11498764902353287, 0.10180240124464035, 5 
2, 80, 0.10215464979410172, 0.10180240124464035, 5 
2, 100, 0.0810798779129982, 0.10180240124464035, 5 
2, 120, 0.19513510167598724, 0.0810798779129982, 6 
2, 140, 0.10841671377420425, 0.0810798779129982, 6 
2, 160, 0.11033524572849274, 0.0810798779129982, 6 
2, 180, 0.09364185482263565, 0.0810798779129982, 6 
2, 200, 0.11885812878608704, 0.0810798779129982, 6 
2, 220, 0.10435886681079865, 0.0810798779129982, 6 
2, 240, 0.121350958943367, 0.0810798779129982, 6 
2, 260, 0.07739726454019547, 0.0810798779129982, 6 
2, 280, 0.0814778208732605, 0.07739726454019547, 7 
3, 20, 0.0894990786910057, 0.07739726454019547, 7 
3, 40, 0.09950254112482071, 0.07739726454019547, 7 
3, 60, 0.0930284783244133, 0.07739726454019547, 7 
3, 80, 0.0762646496295929, 0.07739726454019547, 7 
3, 100, 0.09719156473875046, 0.0762646496295929, 8 
3, 120, 0.09645980596542358, 0.0762646496295929, 8 
3, 140, 0.05540657043457031, 0.0762646496295929, 8 
3, 160, 0.06169851869344711, 0.05540657043457031, 9 
3, 180, 0.06311564892530441, 0.05540657043457031, 9 
3, 200, 0.05170910432934761, 0.05540657043457031, 9 
3, 220, 0.049492787569761276, 0.05170910432934761, 10 
3, 240, 0.04562968760728836, 0.049492787569761276, 11 
3, 260, 0.06573256105184555, 0.04562968760728836, 12 
3, 280, 0.06729310005903244, 0.04562968760728836, 12 
4, 20, 0.07419609278440475, 0.04562968760728836, 12 
4, 40, 0.045927658677101135, 0.04562968760728836, 12 
4, 60, 0.045460764318704605, 0.04562968760728836, 12 
4, 80, 0.05047296732664108, 0.045460764318704605, 13 
4, 100, 0.042486708611249924, 0.045460764318704605, 13 
4, 120, 0.04936078563332558, 0.042486708611249924, 14 
4, 140, 0.04446309059858322, 0.042486708611249924, 14 
4, 160, 0.03566082566976547, 0.042486708611249924, 14 
4, 180, 0.024006489664316177, 0.03566082566976547, 15 
